59.74,50.91,6.82,46.06,111.05,8.08,17.12,16.78,379.93,174.16,55.15,9.21,11.02,217.02,32.14,167.34,14.88,1772.2,125.21,15678,678.58,354.25,46.06,210.61,6.05,419.89,237.46,880.07,228.15,83.93,4272.7,154.47,162.39,6.69,149.9,30.57,44.7,27.94,16.95,27.66,9.58,90.92,327.01,45.15,177.68,219.2,40.45,53.52,11.94,57.4,70.11,507.76,584.06,96.54,111.05,53.52,50.4,129.02,450.34,84.77,70.81,242.26,60.95
89.12,32.79,10.38,32.14,32.46,43.38,8.08,20.49,317.35,86.49,95.58,8.67,9.03,167.34,47.94,56.83,16.95,323.76,102.51,12210,437.03,144.03,91.84,101.49,3.49,183.09,121.51,330.3,249.64,99.48,2643.9,190.57,36.6,11.25,107.77,24.05,47.94,21.98,8,7.24,7.32,20.09,239.85,4.62,56.26,151.41,44.7,56.83,127.74,544.57,58.56,131.63,897.85,71.52,62.8,18.92,34.47,154.47,79.04,117.92,64.07,699.24,159.17
45.6,473.43,16.28,63.43,221.41,15.49,41.68,52.46,1043.2,149.9,31.82,14.01,21.33,473.43,125.21,114.43,91.84,3714.5,424.11,21590,665.14,212.72,115.58,167.34,10.07,333.62,333.62,720.54,148.41,62.8,9045.3,473.43,97.51,10.38,125.21,46.53,137,27.11,34.12,73.7,25.03,41.26,340.36,56.26,107.77,278.66,34.47,55.7,24.78,428.38,137,1352.9,502.7,76.71,98.49,19.89,56.26,194.42,459.44,139.77,68.03,368.71,119.1
141.17,28.5,20.29,14.3,97.51,8.41,5.58,23.1,48.42,64.72,18.54,13.74,13.2,327.01,62.8,126.47,120.3,1380.2,38.09,7631.2,237.46,144.03,175.91,43.38,3.67,210.61,454.86,871.31,200.34,21.12,584.06,487.85,59.74,5,87.36,37.71,464.05,10.91,14.01,48.42,20.91,17.99,138.38,41.68,55.15,237.46,6.36,94.63,8.58,665.14,144.03,38.09,301.87,64.07,98.49,42.1,33.12,75.94,179.47,53.52,17.81,210.61,137
141.17,68.03,40.85,12.81,26.05,21.76,45.6,20.7,123.97,56.83,24.29,18.36,39.65,87.36,47.47,22.87,11.13,2392.3,27.66,5014.1,190.57,125.21,120.3,42.52,2.86,99.48,145.47,454.86,66.69,19.11,407.48,101.49,29.08,3.67,19.89,11.13,75.94,4.26,2.08,15.64,14.15,57.97,244.69,3.94,56.83,186.79,45.15,336.97,25.79,55.15,45.6,278.66,135.64,24.29,15.18,11.94,9.68,20.49,51.94,60.34,50.91,135.64,36.6
18.92,24.53,3.29,10.49,9.68,26.84,5.37,12.94,50.4,26.31,13.6,4.9,3.35,104.58,33.12,59.15,13.2,502.7,2.75,1702.8,44.7,48.91,34.47,17.12,1.99,34.81,46.99,237.46,32.14,17.99,478.19,132.95,3.78,2.69,27.11,9.21,22.2,5.05,1.7,11.7,1.93,10.8,54.05,0.9,21.54,70.11,19.49,30.57,10.91,114.43,39.65,22.65,55.7,13.2,34.12,9.68,7.32,39.25,21.98,44.7,9.68,73.7,12.55
37.34,55.15,7.39,36.23,75.94,9.87,7.24,4.22,103.54,70.11,28.79,2.29,5.37,152.93,47.94,70.11,7.92,2079.7,24.29,6974.4,192.48,204.38,72.24,91.84,2.69,92.76,181.27,1152.9,320.54,69.41,2921.9,395.44,24.53,7.69,30.88,21.98,44.7,26.84,5,20.29,1.97,174.16,73.7,9.49,54.05,126.47,43.82,19.49,8.94,1064.2,64.72,92.76,196.37,74.44,64.72,36.23,29.96,50.4,54.05,135.64,15.03,126.47,20.09
33.78,53.52,18.17,46.53,81.45,44.7,17.81,4.48,31.82,83.1,29.96,10.18,14.15,464.05,134.29,247.15,8.41,4105.2,91.84,8266.8,249.64,692.29,181.27,87.36,5.7,221.41,685.4,1261.4,441.42,301.87,383.75,614,146.94,12.68,137,23.1,85.63,4.39,34.47,31.19,16.44,24.53,135.64,29.08,40.04,270.43,25.79,16.78,40.45,254.68,157.59,106.7,107.77,107.77,126.47,57.4,37.71,259.82,183.09,100.48,21.76,259.82,113.3
192.48,108.85,7.77,46.06,55.15,7.03,3.29,30.27,152.93,123.97,39.65,6.75,11.47,186.79,38.47,21.76,34.47,1719.9,8,6768.3,219.2,145.47,113.3,52.46,4.26,162.39,122.73,450.34,284.29,50.4,1224.2,399.41,31.82,8.33,60.34,17.46,63.43,9.03,26.58,4.57,11.59,27.11,127.74,4.35,46.99,105.64,66.69,36.97,11.25,671.83,52.46,12.55,437.03,56.26,58.56,23.1,25.53,49.9,157.59,36.23,30.27,32.46,71.52
38.47,12.55,15.03,12.55,22.2,21.33,5.99,3.42,113.3,22.87,11.82,6.82,6.36,75.19,17.64,21.98,32.79,424.11,16.28,2864.1,148.41,53.52,95.58,52.46,1.62,72.97,123.97,192.48,77.48,14.3,1043.2,174.16,16.61,2.72,31.5,14.15,478.19,2.44,7.17,3.49,6.11,15.8,99.48,6.55,26.58,84.77,4.22,39.65,30.57,113.3,32.46,154.47,403.43,27.66,23.57,9.58,10.59,19.89,58.56,24.29,13.07,83.93,27.39
